gene_name	gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000293550	ENSG00000293550.1	133.543	-2.03001	0.46053117	0.0000002839425	0.00006538719
MARCKS	ENSG00000277443.4	34884.92	1.243805	0.28416293	0.0000003030422	0.00006700263
SLCO2A1	ENSG00000174640.16	526.9057	-1.747612	0.38879132	0.0000003105556	0.0000679093
GNAZ	ENSG00000128266.10	180.8802	-1.570457	0.35024179	0.0000003403548	0.00007202599
KRAS	ENSG00000133703.15	3190.897	1.063585	0.25216055	0.0000003388896	0.00007202599
MYBL1	ENSG00000185697.18	626.7426	1.756744	0.39259311	0.0000003337843	0.00007202599
ENSG00000272173	ENSG00000272173.3	12.65224	-1.519816	0.33967562	0.00000034386	0.00007202599
PALM3	ENSG00000187867.11	36.76092	-2.078459	0.48070478	0.0000003532672	0.00007322566
PPP4R1	ENSG00000154845.17	3875.364	0.6375868	0.14514497	0.0000003576728	0.00007337455
NNMT	ENSG00000166741.10	1943.992	-2.340699	0.56686472	0.0000003665028	0.00007441876
S100A1	ENSG00000160678.13	162.7637	-2.895114	0.82215297	0.0000003828935	0.0000769616
LHFPL6	ENSG00000183722.10	5505.072	-1.203783	0.28198129	0.0000004216522	0.00008390457
KCNK1	ENSG00000135750.16	214.8273	-2.528825	0.64762994	0.0000004385096	0.00008569247
RBP5	ENSG00000139194.9	18.69648	-1.897356	0.43534855	0.0000004392498	0.00008569247
DICER1	ENSG00000100697.18	10608.15	1.172882	0.27814168	0.0000004770315	0.0000921597
WDR44	ENSG00000131725.15	1112.263	0.6118629	0.13967179	0.0000004836714	0.000092544
ENSG00000288916	ENSG00000288916.2	37.74596	2.599758	0.68504266	0.0000004890181	0.00009267592
SVIL	ENSG00000197321.17	1647.753	-1.774349	0.40613044	0.0000004943897	0.00009281001
MTMR10	ENSG00000166912.18	4571.492	0.7738892	0.18820653	0.0000005055616	0.00009402028
ARPP19	ENSG00000128989.12	10094.23	0.8399684	0.20671361	0.0000005199477	0.00009580037
ARHGAP21	ENSG00000107863.21	7993.044	1.250651	0.29498104	0.0000005429762	0.00009912554
UBXN11	ENSG00000158062.22	316.6179	-1.264637	0.29795912	0.0000005530702	0.0001000504
HSPB8	ENSG00000152137.8	108.8822	-2.503498	0.65092957	0.000000573448	0.0001028022
RND1	ENSG00000172602.11	33.48611	-2.172275	0.52725247	0.0000005955374	0.0001058089
TINAGL1	ENSG00000142910.17	467.0073	-1.744524	0.40349411	0.0000006026805	0.000106085
CNEP1R1	ENSG00000205423.13	566.9258	0.6804531	0.16214405	0.0000006077539	0.000106085
ADCY4	ENSG00000129467.15	198.4705	-1.718675	0.39776116	0.0000006206315	0.0001073908
PUDP	ENSG00000130021.16	681.4975	1.191437	0.28669706	0.0000006478133	0.0001088473
ASS1	ENSG00000130707.19	150.0489	-2.024351	0.48270499	0.0000006405309	0.0001088473
LGR5	ENSG00000139292.14	34.18637	-2.685281	0.74655824	0.0000006509284	0.0001088473
MAPK12	ENSG00000188130.15	66.36637	-1.864814	0.43646573	0.0000006354283	0.0001088473
ITIH5	ENSG00000123243.16	3833.657	-2.238201	0.5537388	0.0000006587802	0.0001092422
ANKRD54	ENSG00000100124.16	249.0983	-0.8138316	0.20265485	0.0000006824673	0.0001113149
CLEC11A	ENSG00000105472.15	122.2071	-2.005901	0.47894728	0.0000006781756	0.0001113149
RAMP1	ENSG00000132329.12	119.8594	-2.607524	0.71047213	0.0000006899782	0.000111625
CC2D1A	ENSG00000132024.19	880.3569	-0.9683684	0.24200375	0.0000006992817	0.0001122178
ZFP92	ENSG00000189420.10	62.11639	-1.33313	0.31583788	0.0000007113124	0.0001132352
PLEKHF2	ENSG00000175895.6	1263.166	0.7221358	0.17637322	0.0000007181172	0.0001134112
CYB5D1	ENSG00000182224.12	317.1024	-0.9676612	0.24232489	0.000000724085	0.0001134533
RFFL	ENSG00000092871.18	1166.894	0.6842972	0.16492639	0.0000007309208	0.0001136296
KCNK15	ENSG00000124249.7	17.75171	-2.242066	0.56195302	0.0000007771111	0.0001180438
TMOD2	ENSG00000128872.11	29592.95	1.28971	0.30871248	0.0000007660147	0.0001180438
ATG12	ENSG00000145782.14	1900.37	0.5679719	0.12988557	0.0000007761802	0.0001180438
VEZT	ENSG00000028203.20	1955.908	0.5332295	0.11998987	0.0000007929474	0.0001195368
FAF1	ENSG00000185104.22	1449.808	0.5629868	0.12891165	0.0000008372242	0.0001252626
TMEM44	ENSG00000145014.19	127.7432	-1.44527	0.34307594	0.0000008787102	0.0001304885
TRPM4	ENSG00000130529.17	310.2819	-1.571657	0.37150561	0.0000008973505	0.0001322695
ENSG00000285534	ENSG00000285534.2	61.12018	2.319669	0.59829863	0.0000009057848	0.000132531
CD36	ENSG00000135218.20	1075.908	-2.081833	0.51694951	0.000001011929	0.0001459158
TVP23A	ENSG00000166676.18	339.0333	-1.914541	0.46452219	0.000001011411	0.0001459158
ZDHHC8	ENSG00000099904.17	770.2751	-1.63405	0.39027612	0.000001052892	0.0001500373
GALR1	ENSG00000166573.6	145.9559	-3.027949	1.0404019	0.000001063132	0.0001500373
ENSG00000288826	ENSG00000288826.2	22.6804	-1.809955	0.43605925	0.000001057724	0.0001500373
ITCH	ENSG00000078747.18	4816.785	0.8533249	0.21947419	0.000001117083	0.0001557852
EMILIN1	ENSG00000138080.15	1162.079	-1.763243	0.4250213	0.000001119518	0.0001557852
KIF7	ENSG00000166813.18	213.9335	-1.593185	0.38246713	0.000001140329	0.0001575792
RAB29	ENSG00000117280.14	712.2484	-1.037502	0.26498982	0.00000115666	0.0001582117
ARMC9	ENSG00000135931.20	481.3289	-0.7944327	0.20327789	0.0000011687	0.0001582117
PAQR8	ENSG00000170915.10	3798.199	1.326416	0.32446552	0.000001168758	0.0001582117
SLC6A4	ENSG00000108576.11	46.70752	-2.988254	1.0280424	0.000001208088	0.0001624307
LNX2	ENSG00000139517.10	850.4359	1.045334	0.26755488	0.000001218287	0.0001627026
KLHDC2	ENSG00000165516.12	1540.512	0.5502297	0.12794888	0.000001286021	0.0001706035
SRPX	ENSG00000101955.16	691.1058	-1.818075	0.44487541	0.000001308982	0.0001722528
FIG4	ENSG00000112367.13	1392.188	0.6715612	0.16632835	0.000001324422	0.0001722528
RNF34	ENSG00000170633.18	812.739	0.4524153	0.10064991	0.000001318949	0.0001722528
SLC38A5	ENSG00000017483.17	88.50108	-2.054868	0.51892606	0.000001340473	0.0001725611
B3GNT9	ENSG00000237172.5	369.0162	-1.50832	0.36680302	0.000001344136	0.0001725611
CPXM1	ENSG00000088882.9	379.34	-2.641446	0.78895585	0.000001437283	0.0001826948
